id_channel,name,interest,created_at,updated_at,thumbnail_channel_url,keywords,id_language,id_categ_1
UCho9uPByw7z1mOhTqEnfWUA,blitzstreamfacile,2.5,2023-11-21 16:16:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Chess
UCHZ1ANeV4alqLuvGnZEQqIQ,investisseurpassionne,2.5,2023-11-21 18:41:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Finance
UCHzlOe7IGQ8QvHA1oeD2CQw,monsieurclavicule,2.5,2023-11-21 16:31:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Medical
UCI0vQvr9aFn27yR6Ej6n5UA,realpython,2.5,2023-11-21 16:33:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,En,Python
UCiHAIS2qHFMNy2T3ESTpHNQ,JulienFlot,2.5,2023-11-21 16:23:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Finance
UCIHVyohXw6j2T-83-uLngEg,Gravenilvectuto,2.5,2023-11-21 16:42:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Code
UCIIq-MNFUrlgmrW5pBdNedQ,bienvenueaucabinet,2.5,2023-11-21 16:42:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Finance
UCiw_8x43hludK0PhuN9AJGg,DIMENSI0N,2.5,2023-11-21 18:31:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Science
UCiWrr_SnP8eK-_9yJWFzbEA,Surlechamp,2.5,2023-11-21 18:24:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,History
UCj_iGliGCkLcHSZ8eqVNPDQ,grafikart,2.5,2023-11-21 16:21:00,2023-11-29 11:06:23,https://i.ytimg.com/vi/kJQP7kiw5Fk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7mQvF1DbgLkymd5TjUQjWLbaJ3A,NaN,Fr,Code
