channel_id,url,categ_1_id,language_id,interest,date,rss_url
LeCoinStat,https://www.youtube.com/LeCoinStat,Stats,Fr,,2023-11-21 16:30:00,UCoincaYNa5FBdi-I5oqHAMw
LeJournaldelEspace,https://www.youtube.com/LeJournaldelEspace,Space,Fr,,2023-11-21 16:24:00,UCypzG0nv9B65DwOLJ578rZQ
LePointGenius,https://www.youtube.com/LePointGenius,Science,Fr,,2023-11-21 16:41:00,UCXO8f8SAVP02zSAxnSvtYHw
lequipe,https://www.youtube.com/lequipe,Sport,Fr,,2023-11-21 16:14:00,UCyIV8rkza5Uk_sJIhqilBvQ
LesClesDuPiano,https://www.youtube.com/LesClesDuPiano,Piano,Fr,,2023-11-21 18:21:00,UC9WKeSyfajhE-337rs0bO2Q
LeSenseOfWonder,https://www.youtube.com/LeSenseOfWonder,Science,Fr,,2023-11-21 18:33:00,UCjsHDXUU3BjBCG7OaCbNDyQ
lespritcritique,https://www.youtube.com/lespritcritique,Sceptic,Fr,,2023-11-21 16:24:00,
LEspritSorcierOfficiel,https://www.youtube.com/LEspritSorcierOfficiel,Science,Fr,,2023-11-21 16:38:00,UCH6rAZUDfVIoVSJjm3vlcnw
LeWagon,https://www.youtube.com/LeWagon,School,?,,2023-11-21 18:24:00,UChCDYcBCrb8tuPAO6e0P-Hw
lhistoirenousledira,https://www.youtube.com/lhistoirenousledira,History,Fr,,2023-11-21 18:17:00,UCN4TCCaX-gqBNkrUqXdgGRA
LibreRiche,https://www.youtube.com/LibreRiche,Finance,Fr,,2023-11-21 16:24:00,UCmvSTbXOOvxXj26vvQBasXg
loperaetseszouz,https://www.youtube.com/loperaetseszouz,Music,Fr,,2023-11-21 18:21:00,UCHL0yzuBvMDqY2DVoKep3EQ
low-techlab2411,https://www.youtube.com/low-techlab2411,Bricole,?,,2023-11-21 18:24:00,
LucasParleF1,https://www.youtube.com/LucasParleF1,F1,Fr,,2023-11-21 16:22:00,UCt25qnVXVq83duXaOZe5B5g
MachineLearnia,https://www.youtube.com/MachineLearnia,Python,Fr,,2023-11-21 16:45:00,UCmpptkXu8iIFe6kfDK5o7VQ
MajorMouvement,https://www.youtube.com/MajorMouvement,Muscle,Fr,,2023-11-21 18:43:00,UCsnRkRtbTyISkfGTGwM7VfQ
manonbrilcuah,https://www.youtube.com/manonbrilcuah,History,Fr,,2023-11-21 18:24:00,
MarketingMania,https://www.youtube.com/MarketingMania,Business,Fr,,2023-11-21 18:21:00,UCSmUdD2Dd_v5uqBuRwtEZug
markfowlermusic,https://www.youtube.com/markfowlermusic,Piano,En,,2023-11-21 18:31:00,
matthew_berman,https://www.youtube.com/matthew_berman,IA,En,,2023-11-21 18:41:00,
mCoding,https://www.youtube.com/mCoding,Python,En,,2023-11-21 16:45:00,
Meeea,https://www.youtube.com/Meeea,Cinema,Fr,,2023-11-21 16:43:00,
Micmaths,https://www.youtube.com/Micmaths,Maths,Fr,,2023-11-21 16:41:00,UC4PasDd25MXqlXBogBw9CAg
Micmaths,https://www.youtube.com/Micmaths,Maths,Fr,,2023-11-21 18:33:00,UC4PasDd25MXqlXBogBw9CAg
Micode,https://www.youtube.com/Micode,Tech,Fr,,2023-11-21 16:31:00,UCu1RanxM-Q9ahuCZdeO-_tQ
MinutePhysics,https://www.youtube.com/MinutePhysics,Science,En,,2023-11-21 18:31:00,UCUHW94eEFW7hkUMVaZz4eDg
mitocw,https://www.youtube.com/mitocw,School,En,,2023-11-21 18:24:00,UCEBb1b_L6zDS3xTUrIALZOw
monsieurbidouille,https://www.youtube.com/monsieurbidouille,Bricole,Fr,,2023-11-21 18:24:00,UCSULDz1yaHLVQWHpm4g_GHA
monsieurclavicule,https://www.youtube.com/monsieurclavicule,Medical,Fr,,2023-11-21 16:31:00,UCHzlOe7IGQ8QvHA1oeD2CQw
MonsieurPhi,https://www.youtube.com/MonsieurPhi,Philo,Fr,,2023-11-21 18:24:00,UCqA8H22FwgBVcF3GJpp0MQw
MontresMoi,https://www.youtube.com/MontresMoi,Watch,Fr,,2023-11-21 16:47:00,UCSw9lUrkDN4jmY5roG-5GEg
moocnsi,https://www.youtube.com/moocnsi,School,Fr,,2023-11-21 18:17:00,
MrGalagomusic,https://www.youtube.com/MrGalagomusic,Music,?,,2023-11-21 16:38:00,UCx8mQU1dOemRUTPmrjs_Jaw
NASA,https://www.youtube.com/NASA,Space,En,,2023-11-21 16:09:00,UCLA_DiR1FfKNvjuUpBHmylQ
NassimSahili,https://www.youtube.com/NassimSahili,Muscle,Fr,,2023-11-21 18:43:00,UCC1Tdag0L4dfOEDAsWW6TvQ
notabenemovies,https://www.youtube.com/notabenemovies,History,Fr,,2023-11-21 16:20:00,UCP46_MXP_WG_auH88FnfS1A
NotaBonus,https://www.youtube.com/NotaBonus,History,Fr,,2023-11-21 16:20:00,UCrbbgYjbrXVYRM_iRGEDqFw
numberphile,https://www.youtube.com/numberphile,Maths,En,,2023-11-21 18:24:00,UCoxcjq-8xIDTYp3uz647V5A
numerama,https://www.youtube.com/numerama,Tech,Fr,,2023-11-21 16:09:00,UCAz-755tH3m8_BwaluzdJwQ
ParfaitementWeb,https://www.youtube.com/ParfaitementWeb,Business,Fr,,2023-11-21 18:41:00,UCzsIm81pLYinjhfjDsFZ-aA
PascalVigne,https://www.youtube.com/PascalVigne,Guitar,Fr,,2023-11-21 16:33:00,UCvOy8YK838JxJ0sdWX3flIQ
PasseScience,https://www.youtube.com/PasseScience,Science,Fr,,2023-11-21 18:31:00,UCsz9DiwPtgDvxJ-njWnieZw
patloeber,https://www.youtube.com/patloeber,Python,En,,2023-11-21 16:46:00,
permacultureetc,https://www.youtube.com/permacultureetc,Agriculture,Fr,,2023-11-21 16:37:00,UCsM4_jihNFYe4CtSkXvDR-Q
PetitAstronome,https://www.youtube.com/PetitAstronome,Space,Fr,,2023-11-21 16:30:00,
pianolouange1059,https://www.youtube.com/pianolouange1059,Piano,Fr,,2023-11-21 18:23:00,
PianoWithJonny,https://www.youtube.com/PianoWithJonny,Piano,En,,2023-11-21 16:22:00,UClEhO-4_6xzQ_Y9Xo22KGjA
